"alternate","js-lightbox-media-link href","photo-box-img src","arrange_unit","menu-item-details-description","menu-item-price-amount","js-lightbox-media-link href 2","photo-box-img src 2","arrange_unit 2","arrange_unit href","menu-item-details-description 2","menu-item-details-stats","icon_svg href","menu-item-price-amount 2","js-lightbox-media-link href 3","photo-box-img src 3","arrange_unit 3","menu-item-details-description 3","menu-item-price-amount 3","js-lightbox-media-link href 4","photo-box-img src 4","arrange_unit 4","menu-item-details-description 4","menu-item-price-amount 4","js-lightbox-media-link href 5","photo-box-img src 5","arrange_unit 5","menu-item-details-description 5","menu-item-price-amount 5","js-lightbox-media-link href 8","photo-box-img src 8","arrange_unit 8","menu-item-details-description 8","menu-item-price-amount 8","arrange_unit 10"
"HAND CRAFTED TACOS!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","TACO - TINGA","SPICY PULLED CHICKEN PAIRED WITH HABANERO SALSA*ALL TACOS SERVED WITH ONIONS, CILANTRO, SALSA, COTIJA CHEESE, CREMA AND CHOICE OF PROTEIN ON A CORN TORTILLA. GARNISHED WITH SLICES OF RADISH & LIME WEDGES.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$5.50","https://www.yelp.com/menu/tacoria-princeton/item/taco-pollo-asado","https://s3-media0.fl.yelpcdn.com/bphoto/eCt7nhzgk_K-WHWIz5umNQ/60s.jpg","TACO -  POLLO ASADO","https://www.yelp.com/menu/tacoria-princeton/item/taco-pollo-asado","CITRUS KISSED GRILLED CHICKEN PAIRED WITH HABANERO SALSA*ALL TACOS SERVED WITH ONIONS, CILANTRO, SALSA, COTIJA CHEESE, CREMA AND CHOICE OF PROTEIN ON A CORN TORTILLA. GARNISHED WITH SLICES OF RADISH & LIME WEDGES.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","3 photos","[object Object]","$5.50","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","TACO - POLLO AL PASTOR","CHICKEN MARINATED IN HOUSE BLEND OF SPICES & PINEAPPLES, PAIRED WITH AVOCADO VERDE SALSA.*ALL TACOS SERVED WITH ONIONS, CILANTRO, SALSA, COTIJA CHEESE, CREMA AND CHOICE OF PROTEIN ON A CORN TORTILLA. GARNISHED WITH SLICES OF RADISH & LIME WEDGES.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$6.70","https://www.yelp.com/menu/tacoria-princeton/item/taco-chorizo","https://s3-media0.fl.yelpcdn.com/bphoto/FcT6fJFROtYdQwwWm-gAXg/60s.jpg","TACO - CHORIZO","SPICY GROUND PORK PAIRED WITH SALSA VERDE*ALL TACOS SERVED WITH ONIONS, CILANTRO, SALSA, COTIJA CHEESE, CREMA AND CHOICE OF PROTEIN ON A CORN TORTILLA. GARNISHED WITH SLICES OF RADISH & LIME WEDGES.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$5.50","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","TACO - AL PASTO","PORK MARINATED IN SPICES & PINEAPPLES*ALL TACOS SERVED WITH ONIONS, CILANTRO, SALSA, COTIJA CHEESE, CREMA AND CHOICE OF PROTEIN ON A CORN TORTILLA. GARNISHED WITH SLICES OF RADISH & LIME WEDGES.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$6.70","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","TACO - RAJAS (VEGGIE)","ROASTED CORN & POBLANO PEPPERS PAIRED WITH SMOKY ROJA SALSA (VEGETARIAN)  *ALL TACOS SERVED WITH ONIONS, CILANTRO, SALSA, COTIJA CHEESE, CREMA AND CHOICE OF PROTEIN ON A CORN TORTILLA. GARNISHED WITH SLICES OF RADISH & LIME WEDGES.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$5.50","TACO - BEYOND TACORIZO (VEGGIE)"
"MISSION STYLE BURRITOS!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","BURRITO - TINGA","SPICY PULLED CHICKEN PAIRED WITH HABANERO SALSA  *ALL BURRITOS SERVED WITH BLACK BEANS, SEASONED RICE, SALSA, CHEESE, CREMA & CHOICE OF PROTEIN IN A GRILLED FLOUR TORTILLA.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE.**CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$13.15","https://www.yelp.com/menu/tacoria-princeton/item/burrito-pollo-asado","https://s3-media0.fl.yelpcdn.com/bphoto/vQVnOb0GUSWRElL3kmS_Eg/60s.jpg","BURRITO - POLLO ASADO","https://www.yelp.com/menu/tacoria-princeton/item/burrito-pollo-asado","CITRUS KISSED GRILLED CHICKEN PAIRED WITH HABANERO SALSA*ALL BURRITOS SERVED WITH BLACK BEANS, SEASONED RICE, SALSA, CHEESE, CREMA & CHOICE OF PROTEIN IN A GRILLED FLOUR TORTILLA.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","4 photos","[object Object]","$13.15","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","BURRITO - POLLO AL PASTOR","Chicken marinated in house blend of spices & pineapple paired with avocado verde salsa all burritos served with black beans, seasoned rice, salsa, cheese, crema & choice of protein in a grilled flour tortilla.","$14.95","https://www.yelp.com/menu/tacoria-princeton/item/burrito-al-pastor","https://s3-media0.fl.yelpcdn.com/bphoto/ZS0psmseZcqHIE5f5SK7yQ/60s.jpg","BURRITO - AL PASTOR","PORK MARINATED IN SPICES & PINEAPPLES  *ALL BURRITOS SERVED WITH BLACK BEANS, SEASONED RICE, SALSA, CHEESE, CREMA & CHOICE OF PROTEIN IN A GRILLED FLOUR TORTILLA.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$14.95","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","BURRITO - CHORIZO","SPICY GROUND PORK PAIRED WITH SALSA VERDE *ALL BURRITOS SERVED WITH BLACK BEANS, SEASONED RICE, SALSA, CHEESE, CREMA & CHOICE OF PROTEIN IN A GRILLED FLOUR TORTILLA.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$13.15","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","BURRITO - GOLDEN AVOCADO (VEGGIE)","LIGHTLY BREADED, SLICED AVOCADO PAIRED WITH CHIPOTLE AIOLI (VEGETARIAN)   *ALL BURRITOS SERVED WITH BLACK BEANS, SEASONED RICE, SALSA, CHEESE, CREMA & CHOICE OF PROTEIN IN A GRILLED FLOUR TORTILLA.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$13.15","BURRITO - RAJAS (VEGGIE)"
"QUESADILLAS SUIZA!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","QUESADILLA - TINGA","SPICY PULLED CHICKEN PAIRED WITH HABANERO SALSA*ALL QUESADILLA SUIZA COME WITH CHEESE, SALSA, & CREMA ALL MELTED IN A FLOUR TORTILLA.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$12.60","https://www.yelp.com/menu/tacoria-princeton/item/quesadilla-carne-asada","https://s3-media0.fl.yelpcdn.com/bphoto/C7TZZdq7z1EZnVvkM7DtAA/60s.jpg","QUESADILLA - CARNE ASADA","https://www.yelp.com/menu/tacoria-princeton/item/quesadilla-carne-asada","SPICE MARINATED GRILLED STEAK PAIRED WITH SMOKY ROJA SALSA*ALL QUESADILLA SUIZA COME WITH CHEESE, SALSA, & CREMA ALL MELTED IN A FLOUR TORTILLA.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","1 photo","[object Object]","$15.00","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","QUESADILLA - POLLO ASADO","CITRUS KISSED GRILLED CHICKEN PAIRED WITH HABANERO SALSA*ALL QUESADILLA SUIZA COME WITH CHEESE, SALSA, & CREMA ALL MELTED IN A FLOUR TORTILLA.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$12.60","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","QUESADILLA - CHEESE ONLY (VEGGIE)","CHEESE ONLY, NO SALSA, NO CREMA (VEGETARIAN)*ALL QUESADILLA SUIZA COME WITH CHEESE, SALSA, & CREMA ALL MELTED IN A FLOUR TORTILLA.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$12.60","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","QUESADILLA - POLLO AL PASTOR","Chicken marinated in house blend of spices & pineapple paired with avocado verde salsa all quesadilla suiza come with cheese, salsa, & crema all melted in a flour tortilla.","$14.40","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","QUESADILLA - CHORIZO","SPICY GROUND PORK PAIRED WITH SALSA VERDE*ALL QUESADILLA SUIZA COME WITH CHEESE, SALSA, & CREMA ALL MELTED IN A FLOUR TORTILLA.**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$12.60","QUESADILLA - AL PASTOR"
"BOX!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","BOX - TINGA","SPICY PULLED CHICKEN PAIRED WITH HABANERO SALSA  **ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$13.15","https://www.yelp.com/menu/tacoria-princeton/item/box-pollo-asado","https://s3-media0.fl.yelpcdn.com/bphoto/Gy9yHJ9CK1Dvz9CS-r3tzA/60s.jpg","BOX - POLLO ASADO","https://www.yelp.com/menu/tacoria-princeton/item/box-pollo-asado","CITRUS KISSED GRILLED CHICKEN PAIRED WITH HABANERO SALSA  *ALL BURRITO BOXES COME WITH CHOICE OF PROTEIN SERVED OVER RICE, BLACK BEANS, CHEESE, SALSA, PICO DE GALLO & CREMA **ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","5 photos","[object Object]","$13.15","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","BOX - GOLDEN AVOCADO (VEGGIE)","LIGHTLY BREADED, SLICED AVOCADO PAIRED WITH CHIPOTLE AIOLI (VEGETARIAN)   *ALL BURRITO BOXES COME WITH CHOICE OF PROTEIN SERVED OVER RICE, BLACK BEANS, CHEESE, SALSA, PICO DE GALLO & CREMA**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$13.15","https://www.yelp.com/menu/tacoria-princeton/item/box-pollo-al-pastor","https://s3-media0.fl.yelpcdn.com/bphoto/Gy9yHJ9CK1Dvz9CS-r3tzA/60s.jpg","BOX - POLLO AL PASTOR","CHICKEN MARINATED IN HOUSE BLEND OF SPICES & PINEAPPLES, PAIRED WITH AVOCADO VERDE SALSA*ALL BURRITO BOXES COME WITH CHOICE OF PROTEIN SERVED OVER RICE, BLACK BEANS, CHEESE, SALSA, PICO DE GALLO & CREMA**ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$14.95","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","BOX - RAJAS (VEGGIE)","ROASTED CORN & POBLANO PEPPERS SERVED WITH SMOKY ROJA SALSA (VEGETARIAN)                                                                                                                                                                                                                                                                                                       *ALL BURRITO BOXES COME WITH CHOICE OF PROTEIN SERVED OVER RICE, BLACK BEANS, CHEESE, SALSA, PICO DE GALLO & CREMA **ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$13.15","https://www.yelp.com/menu/tacoria-princeton/item/box-beyond-tacorizo-veggie","https://s3-media0.fl.yelpcdn.com/bphoto/dMiTk_q4G-7C7Mrtm4ABpQ/60s.jpg","BOX - BEYOND TACORIZO (VEGGIE)","MADE WITH VEGAN BEYOND 'MEAT', SEASONING, SPICES (VEGETARIAN)*ALL BURRITO BOXES COME WITH CHOICE OF PROTEIN SERVED OVER RICE, BLACK BEANS, CHEESE, SALSA, PICO DE GALLO & CREMA **ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$14.95","BOX - BRUSSELS SPROUTS (VEGGIE)"
"EN-SALAD-A!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","SALAD - TINGA","SPICY PULLED CHICKEN *ALL SALADS SERVED WITH CHOICE OF PROTEIN, SLICED AVOCADO, BLACK BEANS, PICO DE GALLO & CHEESE SERVED ON A BED OF ROMAINE LETTUCE. SERVED WITH TACORIA'S HOUSE-MADE PINEAPPLE LIME DRESSING. **ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$13.15","","","","","","","","","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","SALAD - POLLO ASADO","CITRUS KISSES GRILLED CHICKEN *ALL SALADS SERVED WITH CHOICE OF PROTEIN, SLICED AVOCADO, BLACK BEANS, PICO DE GALLO & CHEESE SERVED ON A BED OF ROMAINE LETTUCE. SERVED WITH TACORIA'S HOUSE-MADE PINEAPPLE LIME DRESSING. **ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$13.15","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","SALAD - BEYOND TACORIA (VEGGIE)","MADE WITH VEGAN BEYOND 'MEAT', SEASONING, SPICES (VEGETARIAN) *ALL SALADS SERVED WITH CHOICE OF PROTEIN, SLICED AVOCADO, BLACK BEANS, PICO DE GALLO & CHEESE SERVED ON A BED OF ROMAINE LETTUCE. SERVED WITH TACORIA'S HOUSE-MADE PINEAPPLE LIME DRESSING. **ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$14.95","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","SALAD - POLLO AL PASTOR","Chicken marinated in house blend of spices & pineapple paired with avocado verde all salads served with choice of protein, sliced avocado, black beans, pico de gallo & cheese served on a bed of romaine lettuce. served with tacoria pineapple lime dressing","$14.95","https://www.yelp.com/biz_user_photos/mC0Oir4IMjMSzJGORIW6pw/upload","https://s3-media0.fl.yelpcdn.com/assets/2/www/img/dca54f97fb84/default_avatars/menu_medium_square.png","SALAD -  CHORIZO","SPICY PORK*ALL SALADS SERVED WITH CHOICE OF PROTEIN, SLICED AVOCADO, BLACK BEANS, PICO DE GALLO & CHEESE SERVED ON A BED OF ROMAINE LETTUCE. SERVED WITH TACORIA'S HOUSE-MADE PINEAPPLE LIME DRESSING. **ALLERGY ALERT: IF YOU OR SOMEONE IN YOUR PARTY HAS A FOOD ALLERGY, PLEASE PLACE ORDER OVER THE PHONE. **CROSS-CONTAMINATION ALERT: ALTHOUGH WE TRY OUR BEST, UNFORTUNATELY CROSS-CONTACT WITH OTHER INGREDIENTS MAY OCCUR. REGRETTABLY, WE CANNOT GUARANTEE THE COMPLETE ABSENSE OF ALLERGENS.","$13.15","SALAD - AL PASTOR"
